ProductID,Tier,TierLabel
JFK-660-YN8,1,Mid Performer / Stable
JFL-933-IL9,1,Mid Performer / Stable
VWF-719-SO5,1,Mid Performer / Stable
OXV-831-DH9,1,Mid Performer / Stable
DKQ-548-YB7,1,Mid Performer / Stable
JFO-315-QD4,1,Mid Performer / Stable
OXU-185-RN8,1,Mid Performer / Stable
DLK-232-VL9,1,Mid Performer / Stable
VVO-239-ZW7,1,Mid Performer / Stable
OYS-314-II5,1,Mid Performer / Stable
OYS-856-KN9,1,Mid Performer / Stable
DML-568-ZD9,1,Mid Performer / Stable
DML-096-ND9,1,Mid Performer / Stable
OZK-721-OU7,1,Mid Performer / Stable
JEG-927-EY8,1,Mid Performer / Stable
VUH-184-EY8,1,Mid Performer / Stable
JEH-013-QK3,1,Mid Performer / Stable
DMG-099-NO7,1,Mid Performer / Stable
DME-237-BK9,1,Mid Performer / Stable
DMC-838-YY6,1,Mid Performer / Stable
OZC-903-YI5,1,Mid Performer / Stable
DKO-056-XL6,1,Mid Performer / Stable
DLY-900-CV2,1,Mid Performer / Stable
DLX-386-YZ7,1,Mid Performer / Stable
JEN-017-EC9,1,Mid Performer / Stable
JEP-371-JC4,1,Mid Performer / Stable
VVC-538-NV7,1,Mid Performer / Stable
VVE-227-ZO7,1,Mid Performer / Stable
JEQ-051-MD5,1,Mid Performer / Stable
OYT-900-GF5,1,Mid Performer / Stable
VVH-449-KZ6,1,Mid Performer / Stable
JER-178-OD7,1,Mid Performer / Stable
JER-787-ZC0,1,Mid Performer / Stable
OZA-702-HF1,1,Mid Performer / Stable
PHO-834-BV2,1,Mid Performer / Stable
PHQ-173-UQ2,1,Mid Performer / Stable
VIX-207-UM2,1,Mid Performer / Stable
UWO-641-RU1,1,Mid Performer / Stable
PQZ-565-UE7,1,Mid Performer / Stable
UWR-246-DF3,1,Mid Performer / Stable
UWR-795-MF2,1,Mid Performer / Stable
EGR-946-IY5,1,Mid Performer / Stable
EGR-330-KF2,1,Mid Performer / Stable
EGQ-347-JD1,1,Mid Performer / Stable
